[2026-03-08T19:12:41.792Z] GET / 304 8ms | IP: ::1
[2026-03-08T19:12:41.805Z] GET / 304 24ms | IP: ::1
[2026-03-08T19:12:47.402Z] GET / 304 9ms | IP: ::1
[2026-03-08T19:12:59.870Z] GET / 304 4ms | IP: ::1
[2026-03-09T03:49:38.841Z] GET / 304 7ms | IP: ::1
[2026-03-09T03:49:38.851Z] GET / 304 15ms | IP: ::1
[2026-03-09T03:49:41.941Z] GET / 304 1ms | IP: ::1
[2026-03-09T03:50:30.349Z] GET / 304 14ms | IP: ::1
[2026-03-09T03:50:30.354Z] GET / 304 17ms | IP: ::1
[2026-03-09T03:50:39.238Z] GET / 304 1ms | IP: ::1
[2026-03-09T03:50:56.341Z] GET / 304 1ms | IP: ::1
[2026-03-09T03:53:20.212Z] GET / 304 3ms | IP: ::1
[2026-03-09T03:53:20.213Z] GET / 304 4ms | IP: ::1
[2026-03-09T03:53:21.651Z] GET / 304 1ms | IP: ::1
[2026-03-09T03:53:21.657Z] GET / 304 7ms | IP: ::1
[2026-03-09T03:53:22.704Z] GET / 304 1ms | IP: ::1
[2026-03-09T04:14:01.456Z] GET / 304 31ms | IP: ::1
[2026-03-09T04:14:01.481Z] GET / 304 43ms | IP: ::1
[2026-03-09T04:17:25.152Z] GET / 304 35ms | IP: ::1
[2026-03-09T04:17:25.157Z] GET / 304 30ms | IP: ::1
[2026-03-09T04:19:07.692Z] GET / 304 11ms | IP: ::1
[2026-03-09T04:19:07.698Z] GET / 304 20ms | IP: ::1
[2026-03-09T04:20:03.565Z] GET / 304 4ms | IP: ::1
[2026-03-09T04:20:03.569Z] GET / 304 7ms | IP: ::1
[2026-03-09T04:20:14.972Z] GET / 304 3ms | IP: ::1
[2026-03-09T04:20:26.805Z] GET / 304 8ms | IP: ::1
[2026-03-11T06:56:24.856Z] GET / 304 7ms | IP: ::1
[2026-03-11T06:56:24.866Z] GET / 304 15ms | IP: ::1
[2026-03-11T06:56:38.414Z] GET / 304 2ms | IP: ::1
[2026-03-11T06:56:48.350Z] GET / 304 2ms | IP: ::1
[2026-03-23T05:02:35.228Z] GET / 200 22ms | IP: ::1
[2026-03-23T05:02:35.242Z] GET / 304 32ms | IP: ::1
[2026-03-23T05:02:50.366Z] GET / 304 1ms | IP: ::1
[2026-03-23T05:03:02.011Z] GET / 304 2ms | IP: ::1
[2026-03-23T05:03:12.265Z] GET / 304 4ms | IP: ::1
[2026-03-23T05:03:12.266Z] GET / 304 3ms | IP: ::1
[2026-03-23T05:46:16.944Z] GET /api/health 200 2ms | IP: ::1
[2026-03-23T05:55:32.172Z] GET / 304 5ms | IP: ::1
[2026-03-23T05:55:32.182Z] GET / 304 14ms | IP: ::1
[2026-03-23T05:55:40.722Z] GET / 304 1ms | IP: ::1
[2026-03-23T05:55:48.230Z] GET / 304 2ms | IP: ::1
[2026-03-23T05:55:53.560Z] GET / 304 2ms | IP: ::1
[2026-03-23T05:55:53.561Z] GET / 304 4ms | IP: ::1
[2026-03-24T05:48:47.955Z] GET / 304 11ms | IP: ::1
[2026-03-24T05:48:47.961Z] GET / 304 15ms | IP: ::1
[2026-03-24T05:48:57.397Z] GET / 304 2ms | IP: ::1
[2026-03-24T05:49:02.104Z] GET / 304 2ms | IP: ::1
[2026-03-24T05:49:06.141Z] GET / 304 4ms | IP: ::1
[2026-03-24T05:49:06.142Z] GET / 304 3ms | IP: ::1
[2026-04-27T04:11:11.300Z] GET /api/health 200 8ms | IP: ::1
[2026-04-27T04:11:11.816Z] POST /api/auth/register 500 494ms | IP: ::1
[2026-04-27T04:12:30.034Z] GET /api/health 200 2ms | IP: ::1
[2026-04-27T04:12:30.594Z] POST /register 201 541ms | IP: ::1
[2026-04-27T04:12:30.639Z] GET /me 200 41ms | IP: ::1
[2026-04-27T04:12:30.714Z] GET / 200 73ms | IP: ::1
[2026-04-27T04:12:30.794Z] GET / 200 73ms | IP: ::1
[2026-04-27T04:12:30.873Z] GET / 200 75ms | IP: ::1
[2026-04-27T04:12:30.950Z] GET / 200 74ms | IP: ::1
[2026-04-27T04:12:31.477Z] POST /login 200 524ms | IP: ::1
[2026-04-27T04:13:05.932Z] GET /api/health 200 3ms | IP: ::1
[2026-04-27T04:13:06.658Z] POST /register 201 707ms | IP: ::1
[2026-04-27T04:13:06.874Z] GET / 200 213ms | IP: ::1
[2026-04-27T04:13:06.964Z] GET / 200 83ms | IP: ::1
[2026-04-27T04:13:07.050Z] GET / 200 83ms | IP: ::1
[2026-04-27T04:13:07.141Z] GET / 200 85ms | IP: ::1
[2026-04-27T04:16:37.990Z] GET /api/health 200 7ms | IP: ::1
[2026-04-27T04:16:48.018Z] POST /api/auth/register 500 10008ms | IP: ::1
[2026-04-27T04:18:00.108Z] GET /api/health 200 7ms | IP: ::1
[2026-04-27T04:22:07.365Z] GET / 401 13ms | IP: ::1
[2026-04-27T04:22:07.386Z] GET / 401 32ms | IP: ::1
[2026-04-27T04:22:25.202Z] GET / 401 0ms | IP: ::1
